0,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,DSL,Fiber optic,NoInternet,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
1206,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,70.15,194.20,0
1207,0,0,0,1,9,1,0,1,0,0,0,0,0,1,1,1,1,69.40,571.45,0
1208,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,80.25,80.25,1
1209,1,0,1,0,56,1,1,0,1,0,1,1,1,0,0,0,1,93.15,5253.95,0
1210,1,0,1,1,17,1,0,0,1,0,0,0,0,0,0,0,1,69.00,1149.65,1
1211,0,0,1,1,11,1,1,1,0,0,0,0,0,1,0,1,1,66.35,740.80,1
1212,1,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,1,69.55,521.35,0
1213,0,0,1,1,69,1,0,0,0,1,0,0,0,0,0,0,0,20.20,1412.65,0
1214,1,0,0,0,19,1,1,0,1,0,0,0,0,0,0,1,1,86.00,1532.45,1
1215,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,1,80.30,250.05,1
1216,1,0,1,1,54,1,0,0,0,1,0,0,0,0,0,0,0,20.40,1090.60,0
1217,1,0,1,0,62,1,1,0,0,1,0,0,0,0,0,0,1,23.75,1446.80,0
1218,1,0,0,0,24,1,1,0,1,0,0,1,0,0,1,0,1,90.55,2282.55,1
1219,0,0,1,1,62,1,1,1,0,0,0,0,0,0,1,1,1,70.45,4300.45,0
1220,1,0,0,0,17,1,1,1,0,0,1,0,0,0,0,1,0,65.75,1111.20,0
1221,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,1,24.60,190.10,0
1222,1,0,1,1,64,1,0,1,0,0,1,0,1,1,1,0,0,69.25,4447.75,0
1223,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,75.90,143.35,1
1224,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,45.85,45.85,1
1225,0,0,1,0,16,0,0,1,0,0,0,0,0,1,1,1,1,49.95,810.20,1
1226,0,0,1,0,72,1,1,0,0,1,0,0,0,0,0,0,0,24.65,1830.05,0
1227,1,0,0,0,30,1,1,0,1,0,1,1,1,0,0,0,0,90.40,2820.65,0
1228,0,0,1,0,49,1,1,0,1,0,1,0,0,0,1,1,1,100.85,4847.35,0
1229,1,0,1,0,61,1,1,1,0,0,1,0,1,1,0,1,0,75.35,4729.30,0
1230,1,0,1,1,47,1,1,0,1,0,0,1,0,0,1,0,0,87.20,4017.45,0
1231,1,0,0,0,20,1,0,1,0,0,1,0,1,0,0,1,0,64.40,1398.60,0
1232,1,0,1,1,34,1,0,0,1,0,0,0,0,0,1,0,0,78.30,2564.30,1
1233,0,0,1,1,70,1,1,0,0,1,0,0,0,0,0,0,0,24.70,1685.90,0
1234,1,0,0,1,54,1,0,0,1,0,1,1,0,1,1,1,1,105.85,5826.65,0
1235,1,1,1,0,61,1,1,0,1,0,0,1,1,1,1,0,1,98.30,6066.55,0
1236,1,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,76.95,228.40,1
1237,1,0,0,0,13,1,0,0,0,1,0,0,0,0,0,0,0,19.45,270.20,0
1238,0,1,0,0,16,1,1,0,1,0,0,0,0,0,1,1,1,96.15,1529.20,1
1239,0,0,1,1,3,1,0,1,0,0,0,1,0,0,1,0,1,58.70,168.60,0
1240,1,0,0,0,25,1,0,0,0,1,0,0,0,0,0,0,1,20.15,536.35,0
1241,1,0,0,0,30,1,1,1,0,0,1,0,0,0,0,1,1,64.50,1888.45,0
1242,0,0,1,0,21,0,0,1,0,0,1,0,0,0,0,0,0,28.50,629.35,0
1243,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,45.30,45.30,1
1244,0,0,0,0,15,1,0,0,0,1,0,0,0,0,0,0,0,19.40,289.30,1
1245,1,1,1,0,23,1,0,0,1,0,0,0,0,0,1,1,1,90.45,2117.25,0
1246,0,0,1,1,45,1,1,0,1,0,1,1,0,0,1,1,1,105.15,4730.90,0
1247,0,0,1,1,24,1,1,0,1,0,0,1,1,0,0,0,0,83.15,2033.05,0
1248,0,0,0,0,11,1,1,0,1,0,0,0,0,1,1,0,0,90.15,987.95,1
1249,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,45.05,45.05,1
1250,0,0,1,0,56,1,1,0,1,0,0,0,1,1,1,1,0,103.20,5744.35,0
1251,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,75.80,75.80,1
1252,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,19.45,19.45,0
1253,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,1,1,79.30,523.15,1
1254,0,1,1,0,55,1,0,0,1,0,0,0,1,1,1,0,0,88.80,4805.30,0
1255,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,30.90,59.05,1
1256,0,0,1,1,72,1,1,1,0,0,1,0,1,1,1,1,1,85.90,6110.75,0
1257,0,1,0,0,45,0,0,1,0,0,0,0,0,0,0,1,0,34.20,1596.60,0
1258,0,0,0,0,47,1,0,0,0,1,0,0,0,0,0,0,0,20.15,1046.20,0
1259,0,1,0,0,46,1,0,0,1,0,0,1,0,0,1,1,0,95.25,4424.20,1
1260,1,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,50.30,92.75,0
1261,0,0,1,0,2,1,0,0,1,0,1,0,0,1,0,0,1,80.15,194.55,0
1262,0,0,1,0,12,1,0,1,0,0,0,1,0,0,0,0,1,51.25,612.10,0
1263,0,1,1,0,68,1,1,0,1,0,0,1,0,0,0,1,1,89.60,6127.60,1
1264,1,0,1,1,69,1,0,0,1,0,0,0,0,1,1,1,1,95.20,6671.70,0
1265,1,1,0,1,56,1,0,0,1,0,1,0,0,0,1,1,0,94.80,5264.30,0
1266,0,1,0,0,4,1,1,0,1,0,1,0,0,0,0,0,1,80.25,303.70,0
1267,1,0,1,0,64,1,1,1,0,0,0,1,1,1,1,0,1,76.10,4818.80,0
1268,1,0,1,0,59,1,1,0,1,0,1,1,1,0,1,1,1,110.15,6448.05,1
1269,1,0,1,1,62,1,1,0,1,0,1,1,1,1,1,1,0,115.55,7159.05,0
1270,1,0,1,1,63,1,1,0,0,1,0,0,0,0,0,0,0,24.65,1574.50,0
1271,0,0,0,0,53,0,0,1,0,0,1,1,1,1,1,0,1,53.60,2879.20,0
1272,1,0,1,1,5,1,0,0,0,1,0,0,0,0,0,0,0,19.45,86.05,0
1273,1,1,1,0,49,1,1,0,1,0,1,1,1,0,0,0,1,88.20,4159.45,0
1274,0,0,1,1,62,1,1,0,1,0,1,0,0,0,1,1,1,101.15,6638.35,0
1275,0,0,1,0,55,1,0,1,0,0,1,1,0,1,0,0,0,56.80,3112.05,0
1276,0,1,1,0,71,1,0,0,1,0,1,1,1,1,1,0,1,99.40,7168.25,0
1277,0,0,1,1,72,1,0,0,0,1,0,0,0,0,0,0,1,20.10,1326.25,0
1278,1,0,1,1,36,0,0,1,0,0,1,0,1,1,1,1,0,60.70,2234.55,0
1279,1,0,1,0,25,1,0,0,0,1,0,0,0,0,0,0,1,20.95,495.15,0
1280,0,1,1,0,72,1,1,0,1,0,1,1,1,1,1,1,1,114.85,8317.95,0
1281,0,0,0,0,36,1,0,0,0,1,0,0,0,0,0,0,1,19.25,679.80,0
1282,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,62.80,62.80,0
1283,0,0,1,0,72,1,1,0,1,0,1,0,1,0,1,1,1,105.50,7544.00,0
1284,1,0,1,1,59,1,0,0,0,1,0,0,0,0,0,0,0,19.85,1188.25,0
1285,1,1,1,0,7,1,0,0,1,0,0,0,0,0,1,1,1,89.50,676.70,1
1286,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,74.10,74.10,0
1287,0,0,1,1,30,1,1,0,1,0,0,1,1,1,1,1,1,107.50,3242.50,0
1288,1,0,0,0,64,1,0,0,0,1,0,0,0,0,0,0,0,19.55,1240.15,0
1289,1,0,0,0,63,1,1,1,0,0,1,1,1,1,0,0,0,68.80,4111.35,0
1290,1,1,1,0,72,1,1,1,0,0,1,1,1,0,1,1,0,84.45,5899.85,0
1291,1,0,1,0,8,1,0,0,1,0,1,0,0,0,0,0,0,75.00,632.95,1
1292,0,0,0,0,62,1,1,1,0,0,0,1,1,1,1,1,0,84.50,5193.20,0
1293,1,0,1,1,67,1,1,0,1,0,0,1,1,1,1,1,1,111.20,7530.80,0
1294,1,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,44.75,270.95,1
1295,0,0,1,1,70,1,1,1,0,0,1,0,0,1,1,1,1,80.60,5460.20,0
1296,0,1,0,0,20,1,0,0,1,0,0,0,0,0,1,0,0,80.70,1614.20,0
1297,0,0,0,0,5,1,1,0,1,0,0,0,0,0,0,0,0,75.60,402.50,0
1298,0,0,1,1,24,0,0,1,0,0,1,1,1,0,1,1,0,57.60,1367.75,0
1299,0,0,1,0,11,1,0,1,0,0,0,0,0,0,0,0,1,44.05,483.70,1
1300,1,0,1,0,72,1,1,0,1,0,0,1,1,1,1,1,1,110.60,7962.20,0
1301,0,0,1,1,66,1,0,1,0,0,1,1,0,1,0,0,1,58.20,3810.80,0
1302,0,0,1,1,45,1,0,1,0,0,1,0,1,1,1,1,1,81.00,3533.60,0
1303,0,0,1,1,69,1,0,0,0,1,0,0,0,0,0,0,0,19.70,1396.90,0
1304,1,1,1,0,15,1,1,0,1,0,0,0,0,0,0,1,1,85.60,1345.55,1
1305,0,0,0,0,28,1,0,1,0,0,0,0,1,0,1,0,1,59.55,1646.45,0
1306,0,0,0,0,70,1,1,0,1,0,1,1,1,1,1,1,0,115.55,8127.60,1
1307,0,0,0,0,36,1,0,1,0,0,1,1,1,1,0,1,1,75.55,2680.15,0
1308,1,1,0,0,16,1,1,0,1,0,0,0,0,0,1,0,1,86.60,1281.00,1
1309,0,0,0,0,18,1,1,0,1,0,0,0,0,0,1,0,1,85.20,1553.90,1
1310,0,0,1,0,34,1,1,0,1,0,0,0,0,0,1,1,1,97.65,3207.55,1
1311,1,0,1,1,42,0,0,1,0,0,0,1,1,0,0,1,1,45.10,2049.05,0
1312,1,0,0,0,48,1,1,1,0,0,1,0,0,1,0,1,1,70.95,3629.20,0
1313,1,0,1,0,47,1,1,0,1,0,0,1,1,1,1,1,1,109.55,5124.55,1
1314,0,0,1,1,39,1,1,0,1,0,0,1,1,1,0,0,1,89.55,3474.45,1
1315,0,0,1,1,11,1,0,0,0,1,0,0,0,0,0,0,0,20.90,202.30,0
1316,1,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,1,19.95,147.50,0
1317,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,24.60,86.35,0
1318,1,0,0,0,8,1,0,1,0,0,1,0,1,0,0,1,1,66.70,579.00,0
1319,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,19.45,19.45,1
1320,1,0,1,1,32,1,0,0,1,0,1,1,1,0,0,1,0,94.80,3131.55,0
1321,1,0,1,1,60,1,0,1,0,0,1,1,1,1,0,0,1,65.85,3928.30,0
1322,0,0,1,0,10,1,0,0,0,1,0,0,0,0,0,0,1,19.95,187.75,0
1323,0,0,1,0,71,1,1,0,0,1,0,0,0,0,0,0,1,24.65,1710.15,0
1324,0,0,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,20.35,76.35,1
1325,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,69.25,69.25,1
1326,0,0,1,1,43,0,0,1,0,0,1,1,0,1,1,0,1,51.25,2151.60,0
1327,1,0,1,0,59,1,1,0,1,0,0,0,1,0,1,1,1,99.50,5961.10,1
1328,0,0,1,0,23,1,0,1,0,0,0,0,1,1,0,0,0,54.25,1221.55,0
1329,0,0,1,0,72,1,0,0,0,1,0,0,0,0,0,0,0,19.40,1496.45,0
1330,1,0,1,0,22,1,0,1,0,0,1,0,0,1,0,0,1,56.25,1292.20,0
1331,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,25.15,25.15,0
1332,1,0,0,0,69,1,1,0,0,1,0,0,0,0,0,0,0,23.95,1713.10,0
1333,1,0,0,0,50,0,0,1,0,0,1,0,0,1,0,0,1,35.40,1748.90,0
1334,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,25.20,25.20,1
1335,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,45.00,96.45,1
1336,0,0,1,0,15,1,0,0,1,0,0,1,0,0,0,0,0,75.35,1114.55,0
1337,1,0,0,0,31,1,0,0,0,1,0,0,0,0,0,0,0,20.40,609.10,0
1338,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,20.15,20.15,1
1339,1,0,1,0,66,1,1,0,1,0,0,1,1,0,1,1,1,105.00,7133.25,1
1340,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,56.05,0.00,0
1341,1,0,0,1,3,1,0,1,0,0,0,0,0,0,1,0,1,54.70,169.45,1
1342,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,20.00,141.60,0
1343,1,0,1,1,64,1,0,1,0,0,1,0,1,0,1,1,1,73.05,4688.65,0
1344,0,0,1,0,28,1,0,0,0,1,0,0,0,0,0,0,0,20.50,563.05,0
1345,0,0,1,0,57,1,1,0,1,0,0,0,1,0,1,1,1,100.75,5985.00,0
1346,0,0,1,1,14,1,1,0,1,0,0,0,1,0,0,1,1,87.25,1258.60,1
1347,1,0,0,0,19,1,0,0,0,1,0,0,0,0,0,0,1,19.95,373.50,0
1348,1,0,1,0,10,1,0,0,1,0,0,0,0,0,1,0,1,79.95,857.20,1
1349,0,0,1,0,51,0,0,1,0,0,0,1,0,0,1,1,1,49.65,2553.35,0
1350,0,0,1,0,67,1,1,1,0,0,1,1,1,0,0,0,0,65.65,4322.85,0
1351,1,0,1,1,11,1,0,0,0,1,0,0,0,0,0,0,1,20.45,250.80,0
1352,1,0,1,1,72,0,0,1,0,0,1,0,1,1,1,1,0,60.95,4549.05,0
1353,1,0,1,1,66,1,0,0,0,1,0,0,0,0,0,0,1,20.35,1359.50,0
1354,0,0,0,0,18,1,1,0,1,0,0,0,0,1,1,0,1,88.35,1639.30,1
1355,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,0,1,19.50,178.85,0
1356,0,0,0,0,9,1,1,0,1,0,0,0,0,0,0,0,1,75.20,633.85,0
1357,1,0,1,0,48,1,1,0,1,0,1,1,1,0,1,1,1,111.45,5315.10,0
1358,1,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,70.15,735.50,0
1359,0,0,0,0,9,1,1,0,1,0,0,0,0,0,1,1,1,94.75,889.90,1
1360,0,1,0,0,13,1,1,0,1,0,0,0,0,0,1,1,1,95.05,1290.00,1
1361,1,0,0,0,4,1,1,0,1,0,0,1,0,0,0,0,0,78.45,330.05,1
1362,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,70.20,237.95,1
1363,0,0,1,0,72,1,1,1,0,0,1,1,1,1,1,1,0,92.00,6474.40,0
1364,0,0,1,1,51,1,0,1,0,0,1,1,1,1,1,1,0,85.50,4421.95,0
1365,1,0,1,0,59,0,0,1,0,0,0,1,0,0,0,1,1,41.05,2452.70,1
1366,1,0,1,0,10,1,1,0,1,0,0,0,0,0,1,0,1,85.60,813.85,1
1367,1,1,1,0,61,1,1,0,1,0,0,1,0,0,0,0,1,82.15,4904.85,0
1368,1,0,0,0,54,1,0,0,1,0,1,0,1,1,0,0,0,84.40,4484.05,0
1369,0,0,0,0,33,1,1,1,0,0,1,1,0,0,0,0,1,60.90,2033.85,0
1370,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,0,1,20.25,538.20,0
1371,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,79.20,79.20,1
1372,1,0,0,0,23,1,0,0,1,0,0,1,0,0,1,1,0,95.30,2192.90,0
1373,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,19.85,19.85,0
1374,1,0,1,1,45,1,0,1,0,0,1,1,1,1,1,1,1,84.35,3858.05,0
1375,0,0,1,1,39,1,0,0,0,1,0,0,0,0,0,0,1,19.85,854.80,0
1376,1,0,0,0,5,1,0,1,0,0,0,0,1,0,1,1,1,70.00,347.40,1
1377,1,0,1,1,72,1,1,1,0,0,1,1,1,1,1,0,0,82.30,5815.15,0
1378,0,0,1,1,58,1,1,1,0,0,0,1,0,0,1,0,1,66.80,3970.40,0
1379,0,0,0,0,70,0,0,1,0,0,1,1,1,1,0,0,1,44.60,3058.15,0
1380,1,0,1,1,61,1,0,0,1,0,0,1,0,1,1,1,1,98.45,6145.20,0
1381,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,70.70,129.20,0
1382,0,0,1,1,46,1,1,0,0,1,0,0,0,0,0,0,0,24.95,1165.90,0
1383,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,49.95,49.95,1
1384,0,0,1,0,22,1,0,0,1,0,0,0,0,0,0,0,1,69.25,1554.00,1
1385,0,0,0,0,48,1,0,0,1,0,1,0,1,1,1,1,1,102.50,4904.25,0
1386,1,0,0,0,64,1,1,1,0,0,0,1,1,1,1,1,0,86.55,5632.55,0
1387,1,0,1,1,72,1,1,0,0,1,0,0,0,0,0,0,0,24.30,1643.25,0
1388,0,0,1,1,12,1,0,1,0,0,0,0,1,0,1,0,1,58.35,740.55,0
1389,0,1,1,0,34,1,1,0,1,0,0,1,1,0,0,1,1,94.25,3217.55,1
1390,0,0,1,1,72,1,0,1,0,0,1,1,1,0,0,1,0,68.75,4888.20,0
1391,1,0,1,0,29,1,1,0,1,0,0,1,1,0,0,0,1,85.80,2440.25,0
1392,1,0,1,1,33,1,0,0,0,1,0,0,0,0,0,0,0,20.10,620.55,0
1393,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,20.35,20.35,0
1394,0,0,1,1,62,1,1,0,1,0,0,1,1,1,1,1,1,110.80,6840.95,0
1395,1,0,1,0,41,1,1,1,0,0,0,0,1,0,1,1,1,73.00,3001.20,1
1396,0,0,0,0,64,1,1,0,1,0,0,0,1,0,1,1,1,100.05,6254.20,1
1397,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,1,1,82.85,319.60,0
1398,0,0,0,0,24,1,1,0,1,0,1,0,0,1,0,0,1,84.35,1938.05,0
1399,0,0,1,1,14,1,0,0,0,1,0,0,0,0,0,0,0,19.55,294.50,0
1400,1,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,19.95,58.30,0
1401,0,1,0,0,4,1,0,0,1,0,0,1,1,0,1,1,1,99.80,442.85,1
1402,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,1,1,35.00,553.00,1
1403,1,0,0,0,8,1,0,1,0,0,0,0,0,0,1,1,1,66.25,546.45,0
1404,0,0,0,0,35,1,1,0,0,1,0,0,0,0,0,0,0,23.30,797.10,0
1405,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,76.00,76.00,1
1406,1,0,0,1,66,1,1,0,0,1,0,0,0,0,0,0,1,25.30,1673.80,0
1407,1,0,0,1,8,0,0,1,0,0,1,0,0,1,0,1,1,44.55,343.45,0
1408,0,0,1,0,71,1,1,0,1,0,1,0,1,0,1,1,1,104.10,7412.25,0
1409,0,0,1,1,43,1,1,0,1,0,0,0,1,0,0,1,1,92.55,4039.00,0
1410,0,1,0,0,2,1,1,0,1,0,0,0,0,0,1,1,1,93.85,170.85,1
1411,1,1,0,0,29,1,0,0,1,0,0,1,1,0,1,1,1,101.45,2948.60,0
1412,0,0,1,0,15,1,0,0,1,0,0,0,1,0,1,0,1,84.30,1308.40,1
1413,1,0,1,1,65,1,1,0,1,0,1,1,1,1,0,0,0,94.55,6078.75,0
1414,1,0,0,0,35,1,1,0,1,0,0,0,1,1,1,0,0,95.50,3418.20,0
1415,1,0,0,0,64,1,0,0,1,0,1,1,0,0,1,1,1,100.30,6603.80,0
1416,0,0,1,1,58,0,0,1,0,0,0,0,1,1,1,1,1,55.50,3166.90,0
1417,0,1,0,0,18,1,0,1,0,0,0,1,0,0,0,0,1,49.85,865.75,0
1418,1,0,1,1,67,1,1,0,1,0,0,1,0,0,0,1,1,89.55,6373.10,0
1419,1,0,1,1,63,1,0,0,0,1,0,0,0,0,0,0,1,19.15,1177.05,0
1420,0,0,1,0,60,1,1,0,1,0,0,1,0,0,1,1,1,99.80,5985.75,0
1421,1,1,0,0,9,1,1,0,1,0,0,0,0,0,0,1,1,84.40,732.50,1
1422,0,0,1,1,70,1,1,0,1,0,1,1,1,1,1,1,1,113.05,7869.05,0
1423,1,0,1,0,15,1,1,0,1,0,0,0,1,0,1,1,1,101.10,1504.05,1
1424,0,0,0,1,48,1,0,0,0,1,0,0,0,0,0,0,0,19.95,936.70,0
1425,1,0,1,0,12,1,0,1,0,0,0,0,1,1,1,1,1,74.15,741.40,0
1426,1,1,1,0,71,1,1,0,1,0,1,1,1,1,0,0,1,92.00,6585.20,0
1427,1,1,0,0,44,1,0,0,1,0,0,0,1,0,0,0,0,73.85,3122.40,0
1428,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,50.45,50.45,1
1429,1,0,1,1,45,1,1,0,0,1,0,0,0,0,0,0,0,24.45,1088.25,0
1430,0,0,0,0,23,1,1,0,0,1,0,0,0,0,0,0,0,24.80,615.35,0
1431,0,0,1,0,43,1,1,1,0,0,0,0,0,1,1,0,1,64.85,2908.20,0
1432,1,0,0,0,35,1,0,0,0,1,0,0,0,0,0,0,0,20.75,739.90,0
1433,1,0,1,0,9,1,0,1,0,0,1,1,0,1,1,0,1,68.95,593.85,0
1434,1,0,0,0,12,1,1,0,1,0,0,0,0,1,1,1,1,99.95,1132.75,1
1435,0,1,1,0,65,1,1,0,1,0,1,1,1,0,1,1,1,109.40,7227.45,0
1436,0,0,0,0,2,1,1,0,1,0,0,0,1,0,1,0,1,91.40,193.60,1
1437,1,0,0,0,27,1,1,1,0,0,0,0,0,0,0,0,0,49.00,1291.35,0
1438,0,0,0,0,40,1,0,1,0,0,0,0,1,0,0,0,1,50.25,2023.55,0
1439,0,1,0,0,5,1,0,0,1,0,0,0,1,0,0,0,1,75.55,349.65,1
1440,1,0,1,1,8,1,0,0,0,1,0,0,0,0,0,0,0,19.90,153.95,0
1441,0,1,1,0,58,1,1,0,1,0,0,1,0,0,1,1,1,97.80,5458.80,0
1442,0,0,1,1,52,1,0,0,1,0,1,0,1,0,1,1,0,100.30,5244.45,0
1443,1,0,1,0,3,1,0,1,0,0,0,0,1,1,0,0,1,55.80,154.55,0
1444,1,0,0,1,41,1,0,0,1,0,1,1,1,1,1,1,1,111.15,4507.15,0
1445,1,0,0,0,20,1,1,0,1,0,0,0,0,1,1,1,1,98.55,2031.95,0
1446,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,50.05,50.05,0
1447,1,0,0,1,4,1,1,0,1,0,0,0,0,1,0,0,0,80.80,332.45,1
1448,1,0,0,0,23,1,0,0,0,1,0,0,0,0,0,0,0,20.85,473.90,0
1449,0,1,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,19.50,106.80,0
1450,1,0,1,1,8,1,0,0,0,1,0,0,0,0,0,0,1,19.35,152.60,0
1451,1,0,0,0,18,1,1,1,0,0,1,0,1,0,1,0,0,69.50,1199.40,0
1452,1,1,0,0,52,0,0,1,0,0,1,0,0,0,1,1,1,48.80,2555.05,0
1453,1,0,0,0,31,1,0,0,1,0,0,1,0,0,1,1,1,94.50,2979.20,0
1454,1,0,1,1,29,1,0,0,0,1,0,0,0,0,0,0,1,20.65,654.85,0
1455,0,0,1,0,36,1,1,0,1,0,1,1,1,1,0,1,1,106.05,3834.40,0
1456,0,0,1,0,16,1,1,0,1,0,0,1,0,0,1,1,1,100.00,1534.75,1
1457,1,0,1,0,42,1,1,0,1,0,0,0,1,1,1,1,1,108.30,4586.15,0
1458,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,20.55,20.55,1
1459,0,0,0,0,60,1,0,0,1,0,0,1,1,0,1,1,1,99.65,5941.05,0
1460,1,0,0,0,5,1,1,0,1,0,0,1,1,0,0,0,1,85.30,424.15,1
1461,1,0,1,0,22,1,1,0,1,0,1,0,0,1,1,0,0,95.90,2234.95,0
1462,1,0,1,0,36,1,0,0,0,1,0,0,0,0,0,0,0,20.00,666.75,0
1463,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,70.40,281.00,1
1464,1,0,0,0,9,1,0,1,0,0,1,0,0,1,0,1,0,64.95,547.80,0
1465,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,74.60,74.60,0
1466,1,0,1,1,12,1,0,1,0,0,1,0,0,0,0,0,1,49.20,571.15,0
1467,0,0,0,0,23,1,1,1,0,0,0,0,0,1,1,1,1,73.75,1756.60,0
1468,1,0,0,0,62,1,1,0,1,0,1,1,0,0,0,1,1,92.30,5731.45,0
1469,1,0,0,0,37,1,1,0,1,0,0,0,0,1,1,1,0,98.80,3475.55,1
1470,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,19.20,156.85,0
1471,1,0,1,0,31,1,1,0,1,0,0,0,1,0,1,0,0,88.65,2683.20,0
1472,1,0,1,1,13,1,1,0,1,0,0,0,0,0,0,0,1,74.40,896.75,1
1473,0,0,0,0,24,1,1,0,1,0,0,0,1,0,1,1,1,98.75,2407.30,1
1474,1,0,1,1,45,1,1,0,1,0,0,1,1,0,0,1,1,95.95,4456.65,0
1475,0,1,1,0,69,1,1,0,1,0,0,1,0,1,1,1,0,105.40,6998.95,0
1476,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,20.25,36.80,0
1477,1,0,1,1,61,1,1,0,1,0,1,1,0,0,1,1,1,106.00,6547.70,1
1478,1,0,0,0,41,1,1,0,1,0,0,1,1,0,1,1,1,104.70,4346.40,1
1479,0,0,0,0,44,0,0,1,0,0,0,0,1,0,1,1,1,49.05,2265.00,0
1480,1,0,0,0,39,0,0,1,0,0,0,0,1,1,0,0,0,35.55,1309.15,0
1481,1,0,1,1,72,0,0,1,0,0,1,1,1,1,1,1,1,65.10,4754.30,0
1482,0,1,0,0,13,1,0,0,1,0,0,0,1,0,1,1,1,96.85,1235.55,0
1483,0,0,1,1,51,1,0,1,0,0,1,1,0,1,0,1,1,69.75,3562.50,0
1484,0,1,1,0,71,1,0,0,1,0,0,1,1,0,1,1,1,99.20,7213.75,0
1485,1,1,0,0,22,1,1,0,1,0,0,0,0,0,1,1,1,96.70,2082.95,1
1486,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,1,55.05,102.75,1
1487,0,0,0,0,56,1,1,0,1,0,0,1,1,0,1,1,1,106.80,5914.40,0
1488,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,51.25,51.25,0
1489,0,0,1,1,23,1,0,1,0,0,1,1,0,1,0,0,1,57.75,1282.85,0
1490,0,1,1,0,66,1,1,1,0,0,0,1,1,0,1,0,1,70.85,4738.85,0
1491,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,19.55,19.55,0
1492,1,1,0,0,19,1,1,0,1,0,0,1,0,0,1,0,1,88.20,1775.80,1
1493,1,0,0,0,11,1,0,0,1,0,1,0,1,0,0,0,1,79.50,795.65,0
1494,0,0,1,1,8,1,0,0,0,1,0,0,0,0,0,0,1,19.75,145.00,1
1495,0,0,1,1,52,1,1,0,1,0,1,1,1,0,0,1,0,98.15,4993.40,0
1496,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,20.25,61.45,0
